Code,Code Name,Country,EPI Score
4,AFG,Afghanistan,25.5
24,AGO,Angola,29.7
8,ALB,Albania,49
784,ARE,United Arab Emirates,55.6
32,ARG,Argentina,52.2
51,ARM,Armenia,52.3
28,ATG,Antigua and Barbuda,48.5
36,AUS,Australia,74.9
40,AUT,Austria,79.6
31,AZE,Azerbaijan,46.5
108,BDI,Burundi,27
56,BEL,Belgium,73.3
204,BEN,Benin,30
854,BFA,Burkina Faso,38.3
50,BGD,Bangladesh,29
100,BGR,Bulgaria,57
48,BHR,Bahrain,51
44,BHS,Bahamas,43.5
70,BIH,Bosnia and Herzegovina,45.4
112,BLR,Belarus,53
84,BLZ,Belize,41.9
68,BOL,Bolivia,44.3
76,BRA,Brazil,51.2
52,BRB,Barbados,45.6
96,BRN,Brunei Darussalam,54.8
64,BTN,Bhutan,39.3
72,BWA,Botswana,40.4
140,CAF,Central African Republic,36.9
124,CAN,Canada,71
756,CHE,Switzerland,81.5
152,CHL,Chile,55.3
156,CHN,China,37.3
384,CIV,Cote d'Ivoire,25.8
120,CMR,Cameroon,33.6
180,COD,Dem. Rep. Congo,36.4
178,COG,Republic of Congo,30.8
170,COL,Colombia,52.9
174,COM,Comoros,32.1
132,CPV,Cabo Verde,32.8
188,CRI,Costa Rica,52.5
192,CUB,Cuba,48.4
196,CYP,Cyprus,64.8
203,CZE,Czech Republic,71
276,DEU,Germany,77.2
262,DJI,Djibouti,28.1
212,DMA,Dominica,44.6
208,DNK,Denmark,82.5
214,DOM,Dominican Republic,46.3
12,DZA,Algeria,44.8
218,ECU,Ecuador,51
818,EGY,Egypt,43.3
232,ERI,Eritrea,30.4
724,ESP,Spain,74.3
233,EST,Estonia,65.3
231,ETH,Ethiopia,34.4
246,FIN,Finland,78.9
242,FJI,Fiji,34.4
250,FRA,France,80
583,FSM,Micronesia,33
266,GAB,Gabon,45.8
826,GBR,United Kingdom,81.3
268,GEO,Georgia,41.3
288,GHA,Ghana,27.6
324,GIN,Guinea,26.4
270,GMB,Gambia,27.9
624,GNB,Guinea-Bissau,29.1
226,GNQ,Equatorial Guinea,38.1
300,GRC,Greece,69.1
308,GRD,Grenada,43.1
320,GTM,Guatemala,31.8
328,GUY,Guyana,35.9
340,HND,Honduras,37.8
191,HRV,Croatia,63.1
332,HTI,Haiti,27
348,HUN,Hungary,63.7
360,IDN,Indonesia,37.8
356,IND,India,27.6
372,IRL,Ireland,72.8
364,IRN,Iran,48
368,IRQ,Iraq,39.5
352,ISL,Iceland,72.3
376,ISR,Israel,65.8
380,ITA,Italy,71
388,JAM,Jamaica,48.2
400,JOR,Jordan,53.4
392,JPN,Japan,75.1
398,KAZ,Kazakhstan,44.7
404,KEN,Kenya,34.7
417,KGZ,Kyrgyzstan,39.8
116,KHM,Cambodia,33.6
