Code,TIME,Renewable Supply %
AUS,2008,5.57
AUS,2009,4.39
AUS,2010,5.25
AUS,2011,5.4
AUS,2012,5.44
AUS,2013,6.01
AUS,2014,6.28
AUS,2015,6.32
AUS,2016,6.47
AUS,2017,6.95
AUT,2008,24.59
AUT,2009,27.42
AUT,2010,26.49
AUT,2011,25.99
AUT,2012,29.59
AUT,2013,29.75
AUT,2014,30.64
AUT,2015,29.48
AUT,2016,29.96
AUT,2017,29.02
BEL,2008,3.29
BEL,2009,4.08
BEL,2010,4.73
BEL,2011,5.57
BEL,2012,6.29
BEL,2013,6.3
BEL,2014,6.46
BEL,2015,6.99
BEL,2016,7.03
BEL,2017,7.31
CAN,2008,16.98
CAN,2009,17.33
CAN,2010,16.92
CAN,2011,17.49
CAN,2012,17.56
CAN,2013,18.1
CAN,2014,17.51
CAN,2015,17.52
CAN,2016,17.35
CAN,2017,17.32
CZE,2008,5.56
CZE,2009,6.67
CZE,2010,6.93
CZE,2011,7.91
CZE,2012,8.54
CZE,2013,9.37
CZE,2014,9.96
CZE,2015,10.19
CZE,2016,10.39
CZE,2017,10.14
DNK,2008,16.83
DNK,2009,17.94
DNK,2010,20.11
DNK,2011,22.22
DNK,2012,24.2
DNK,2013,24.94
DNK,2014,27.75
DNK,2015,29.89
DNK,2016,30.4
DNK,2017,33.77
FIN,2008,25.82
FIN,2009,24.07
FIN,2010,25.53
FIN,2011,25.98
FIN,2012,29.42
FIN,2013,29.64
FIN,2014,30.18
FIN,2015,32.36
FIN,2016,31.51
FIN,2017,33.73
FRA,2008,7.03
FRA,2009,7.41
FRA,2010,7.99
FRA,2011,7.1
FRA,2012,8.35
FRA,2013,9.2
FRA,2014,8.96
FRA,2015,9.04
FRA,2016,9.96
FRA,2017,9.83
DEU,2008,7.04
DEU,2009,7.89
DEU,2010,8.45
DEU,2011,9.46
DEU,2012,10.36
DEU,2013,10.5
DEU,2014,11.57
DEU,2015,12.45
DEU,2016,12.55
DEU,2017,13.38
GRC,2008,5.62
GRC,2009,6.34
GRC,2010,7.72
GRC,2011,8
GRC,2012,9.22
GRC,2013,11.21
GRC,2014,10.57
GRC,2015,11.98
GRC,2016,11.77
GRC,2017,11.28
HUN,2008,7.42
HUN,2009,9.95
HUN,2010,10.48
HUN,2011,11.13
HUN,2012,11.95
HUN,2013,13.02
HUN,2014,12
HUN,2015,11.98
HUN,2016,11.75
HUN,2017,11.03
ISL,2008,86.8
ISL,2009,87.82
