Code,Country,EPI,Year
AGO,Angola,39.49466149,2008
ALB,Albania,83.95098508,2008
ARE,United Arab Emirates            ,63.98581182,2008
ARG,Argentina,81.7837441,2008
ARM,Armenia,77.75461676,2008
AUS,Australia,79.82742738,2008
AUT,Austria,89.43150348,2008
AZE,Azerbaijan,72.17275993,2008
BDI,Burundi,54.66426188,2008
BEL,Belgium,78.4148247,2008
BEN,Benin,56.08356944,2008
BFA,Burkina Faso,44.33618463,2008
BGD,Bangladesh,57.99816838,2008
BGR,Bulgaria,78.47255477,2008
BIH,Bosnia and Herzegovina          ,79.73417211,2008
BLR,Belarus,80.47494917,2008
BLZ,Belize,71.7368933,2008
BOL,Bolivia,64.6897546,2008
BRA,Brazil,82.65110277,2008
BWA,Botswana,68.66250155,2008
CAF,Central African Republic        ,56.04952541,2008
CAN,Canada,86.63962884,2008
CHE,Switzerland,95.51099503,2008
CHL,Chile,83.44371097,2008
CHN,China,65.08228805,2008
CIV,C“te d'Ivoire,65.19912497,2008
CMR,Cameroon,63.79506415,2008
COD,Dem. Rep. Congo,47.32791962,2008
COG,Congo,69.69651363,2008
COL,Colombia,88.30492526,2008
CRI,Costa Rica,90.4536205,2008
CUB,Cuba,80.73557182,2008
CYP,Cyprus,79.18947976,2008
CZE,Czech Rep.,76.79569238,2008
DEU,Germany,86.30934932,2008
DJI,Djibouti,50.52642015,2008
DNK,Denmark,83.99199551,2008
DOM,Dominican Rep.,83.00825325,2008
DZA,Algeria,76.97472133,2008
ECU,Ecuador,84.35691363,2008
EGY,Egypt,76.28094466,2008
ERI,Eritrea,59.44790254,2008
ESP,Spain,83.13911033,2008
EST,Estonia,85.15596806,2008
ETH,Ethiopia,58.84445768,2008
FIN,Finland,91.43787346,2008
FJI,Fiji,69.70393256,2008
FRA,France,87.75324021,2008
GAB,Gabon,77.26369364,2008
GBR,United Kingdom,86.30563228,2008
GEO,Georgia,82.17632005,2008
GHA,Ghana,70.78198062,2008
GIN,Guinea,51.31535249,2008
GNB,Guinea-Bissau,49.72110979,2008
GRC,Greece,80.16497055,2008
GTM,Guatemala,76.65140576,2008
GUY,Guyana,64.83187801,2008
HND,Honduras,75.39223522,2008
HRV,Croatia,84.64705396,2008
HTI,Haiti,60.69183525,2008
HUN,Hungary,84.23696465,2008
IDN,Indonesia,66.19249392,2008
IND,India,60.27521405,2008
IRL,Ireland,82.73898597,2008
IRN,Iran,76.8612378,2008
IRQ,Iraq,53.93056307,2008
ISL,Iceland,87.5696944,2008
ISR,Israel,79.58532231,2008
ITA,Italy,84.22345141,2008
JAM,Jamaica,79.07898994,2008
JOR,Jordan,76.54817189,2008
JPN,Japan,84.53835467,2008
KAZ,Kazakhstan,64.95010578,2008
KEN,Kenya,69.01417208,2008
KGZ,Kyrgyzstan,69.63243579,2008
KHM,Cambodia,53.7713018,2008
KOR,South Korea,79.35873581,2008
KWT,Kuwait,64.53785443,2008
LAO,Laos,66.30990787,2008
LBN,Lebanon,70.29090233,2008
LKA,Sri Lanka,79.52589033,2008
LTU,Lithuania,86.21620437,2008
LUX,Luxembourg,83.06638023,2008
LVA,Latvia,88.81118005,2008
MAR,Morocco,72.08609303,2008
MDA,Moldova,70.74300745,2008
MDG,Madagascar,54.57626358,2008
MEX,Mexico,79.80158549,2008
MKD,Macedonia,75.09085668,2008
MLI,Mali,44.30479913,2008
MMR,Myanmar,65.12378935,2008
MNG,Mongolia,68.11331411,2008
MOZ,Mozambique,53.93826395,2008
MRT,Mauritania,44.1933101,2008
MUS,Mauritius,78.08344132,2008
MWI,Malawi,59.91087822,2008
MYS,Malaysia,83.97839775,2008
NAM,Namibia,70.62382832,2008
NER,Niger,39.05439744,2008
NGA,Nigeria,56.15634183,2008
NIC,Nicaragua,73.41902947,2008
NLD,Netherlands,78.73072003,2008
NOR,Norway,93.11847548,2008
NPL,Nepal,72.09813247,2008
NZL,New Zealand,88.89716907,2008
OMN,Oman,70.2697351,2008
PAK,Pakistan,58.66798221,2008
PAN,Panama,83.06463177,2008
PER,Peru,78.0790064,2008
PHL,Philippines,77.93657809,2008
PNG,Papua New Guinea,64.78502067,2008
POL,Poland,80.49405706,2008
PRT,Portugal,85.75155115,2008
PRY,Paraguay,77.66865231,2008
ROU,Romania,71.92718642,2008
RUS,Russia,83.85054378,2008
RWA,Rwanda,54.87623101,2008
SAU,Saudi Arabia,72.82504006,2008
SDN,Sudan,55.5424103,2008
SEN,Senegal,62.83062992,2008
SLB,Solomon Islands,52.26595827,2008
SLE,Sierra Leone,40.04361384,2008
SLV,El Salvador,77.19748422,2008
SVK,Slovakia,86.0302692,2008
SVN,Slovenia,86.30063873,2008
SWE,Sweden,93.12241576,2008
SWZ,Swaziland,61.34031617,2008
SYR,Syria,68.17860176,2008
TCD,Chad,45.88986824,2008
TGO,Togo,62.29790917,2008
THA,Thailand,79.1511149,2008
TJK,Tajikistan,72.34115194,2008
TKM,Turkmenistan,71.27550294,2008
TTO,Trinidad & Tobago,70.35532598,2008
TUN,Tunisia,78.08287588,2008
TUR,Turkey,75.89513268,2008
TWN,Taiwan,80.8329195,2008
TZA,Tanzania,63.87021226,2008
UGA,Uganda,61.58832288,2008
UKR,Ukraine,74.1027154,2008
URY,Uruguay,82.29158251,2008
USA,United States,81.02511837,2008
UZB,Uzbekistan,64.95216407,2008
VEN,Venezuela,80.04586138,2008
VNM,Viet Nam,73.91189313,2008
YEM,Yemen,49.69393619,2008
ZAF,South Africa,68.97717751,2008
ZMB,Zambia,55.12675147,2008
ZWE,Zimbabwe,69.27831169,2008
