Code,Country,EPI Score,Year
CHE,Switzerland,87.67,2013
LUX,Luxembourg,83.29,2013
AUS,Australia,82.4,2013
SGP,Singapore,81.78,2013
CZE,Czech Republic,81.47,2013
DEU,Germany,80.47,2013
ESP,Spain,79.79,2013
AUT,Austria,78.32,2013
SWE,Sweden,78.09,2013
NOR,Norway,78.04,2013
NLD,Netherlands,77.75,2013
GBR,United Kingdom,77.35,2013
DNK,Denmark,76.92,2013
ISL,Iceland,76.5,2013
SVN,Slovenia,76.43,2013
NZL,New Zealand,76.41,2013
PRT,Portugal,75.8,2013
FIN,Finland,75.72,2013
IRL,Ireland,74.67,2013
EST,Estonia,74.66,2013
SVK,Slovakia,74.45,2013
ITA,Italy,74.36,2013
GRC,Greece,73.28,2013
CAN,Canada,73.14,2013
ARE,United Arab Emirates,72.91,2013
JPN,Japan,72.35,2013
FRA,France,71.05,2013
HUN,Hungary,70.28,2013
CHL,Chile,69.93,2013
POL,Poland,69.53,2013
RS,Serbia,69.13,2013
BLR,Belarus,67.69,2013
USA,United States of America,67.52,2013
MLT,Malta,67.42,2013
SAU,Saudi Arabia,66.66,2013
BEL,Belgium,66.61,2013
BRN,Brunei Darussalam,66.49,2013
CYP,Cyprus,66.23,2013
ISR,Israel,65.78,2013
LVA,Latvia,64.05,2013
BGR,Bulgaria,64.01,2013
KWT,Kuwait,63.94,2013
KOR,South Korea,63.79,2013
QAT,Qatar,63.03,2013
HRV,Croatia,62.23,2013
TWN,Taiwan,62.18,2013
TON,Tonga,61.68,2013
ARM,Armenia,61.67,2013
LTU,Lithuania,61.26,2013
EGY,Egypt,61.11,2013
MYS,Malaysia,59.31,2013
TUN,Tunisia,58.99,2013
ECU,Ecuador,58.54,2013
CRI,Costa Rica,58.53,2013
JAM,Jamaica,58.26,2013
MUS,Mauritius,58.09,2013
VEN,Venezuela,57.8,2013
PAN,Panama,56.84,2013
KIR,Kiribati,55.82,2013
JOR,Jordan,55.78,2013
SYC,Seychelles,55.56,2013
ME,Montenegro,55.52,2013
AZE,Azerbaijan,55.47,2013
CUB,Cuba,55.07,2013
MEX,Mexico,55.03,2013
TUR,Turkey,54.91,2013
ALB,Albania,54.73,2013
SYR,Syria,54.5,2013
LKA,Sri Lanka,53.88,2013
URY,Uruguay,53.61,2013
SUR,Suriname,53.57,2013
ZAF,South Africa,53.51,2013
RUS,Russia,53.45,2013
MDA,Moldova,53.36,2013
DOM,Dominican Republic,53.24,2013
FJI,Fiji,53.08,2013
BRA,Brazil,52.97,2013
THA,Thailand,52.83,2013
TTO,Trinidad and Tobago,52.28,2013
PLW,Palau,51.96,2013
MAR,Morocco,51.89,2013
BHR,Bahrain,51.83,2013
IRN,Iran,51.08,2013
KAZ,Kazakhstan,51.07,2013
COL,Colombia,50.77,2013
ROU,Romania,50.52,2013
BOL,Bolivia,50.48,2013
BLZ,Belize,50.46,2013
MKD,Macedonia,50.41,2013
NIC,Nicaragua,50.32,2013
LBN,Lebanon,50.15,2013
DZA,Algeria,50.08,2013
ARG,Argentina,49.55,2013
ZWE,Zimbabwe,49.54,2013
UKR,Ukraine,49.01,2013
ATG,Antigua and Barbuda,48.89,2013
HND,Honduras,48.87,2013
GTM,Guatemala,48.06,2013
OMN,Oman,47.75,2013
BWA,Botswana,47.6,2013
