Code,Country,2014 EPI Score
CHE,Switzerland,87.67
LUX,Luxembourg,83.29
AUS,Australia,82.4
SGP,Singapore,81.78
CZE,Czech Republic,81.47
DEU,Germany,80.47
ESP,Spain,79.79
AUT,Austria,78.32
SWE,Sweden,78.09
NOR,Norway,78.04
NLD,Netherlands,77.75
GBR,United Kingdom,77.35
DNK,Denmark,76.92
ISL,Iceland,76.5
SVN,Slovenia,76.43
NZL,New Zealand,76.41
PRT,Portugal,75.8
FIN,Finland,75.72
IRL,Ireland,74.67
EST,Estonia,74.66
SVK,Slovakia,74.45
ITA,Italy,74.36
GRC,Greece,73.28
CAN,Canada,73.14
ARE,United Arab Emirates,72.91
JPN,Japan,72.35
FRA,France,71.05
HUN,Hungary,70.28
CHL,Chile,69.93
POL,Poland,69.53
RS,Serbia,69.13
BLR,Belarus,67.69
USA,United States of America,67.52
MLT,Malta,67.42
SAU,Saudi Arabia,66.66
BEL,Belgium,66.61
BRN,Brunei Darussalam,66.49
CYP,Cyprus,66.23
ISR,Israel,65.78
LVA,Latvia,64.05
BGR,Bulgaria,64.01
KWT,Kuwait,63.94
KOR,South Korea,63.79
QAT,Qatar,63.03
HRV,Croatia,62.23
TWN,Taiwan,62.18
TON,Tonga,61.68
ARM,Armenia,61.67
LTU,Lithuania,61.26
EGY,Egypt,61.11
MYS,Malaysia,59.31
TUN,Tunisia,58.99
ECU,Ecuador,58.54
CRI,Costa Rica,58.53
JAM,Jamaica,58.26
MUS,Mauritius,58.09
VEN,Venezuela,57.8
PAN,Panama,56.84
KIR,Kiribati,55.82
JOR,Jordan,55.78
SYC,Seychelles,55.56
ME,Montenegro,55.52
AZE,Azerbaijan,55.47
CUB,Cuba,55.07
MEX,Mexico,55.03
TUR,Turkey,54.91
ALB,Albania,54.73
SYR,Syria,54.5
LKA,Sri Lanka,53.88
URY,Uruguay,53.61
SUR,Suriname,53.57
ZAF,South Africa,53.51
RUS,Russia,53.45
MDA,Moldova,53.36
DOM,Dominican Republic,53.24
FJI,Fiji,53.08
BRA,Brazil,52.97
THA,Thailand,52.83
TTO,Trinidad and Tobago,52.28
PLW,Palau,51.96
MAR,Morocco,51.89
BHR,Bahrain,51.83
IRN,Iran,51.08
KAZ,Kazakhstan,51.07
COL,Colombia,50.77
ROU,Romania,50.52
BOL,Bolivia,50.48
BLZ,Belize,50.46
MKD,Macedonia,50.41
NIC,Nicaragua,50.32
LBN,Lebanon,50.15
DZA,Algeria,50.08
ARG,Argentina,49.55
ZWE,Zimbabwe,49.54
UKR,Ukraine,49.01
ATG,Antigua and Barbuda,48.89
HND,Honduras,48.87
GTM,Guatemala,48.06
OMN,Oman,47.75
BWA,Botswana,47.6
GEO,Georgia,47.23
DMA,Dominica,47.08
BTN,Bhutan,46.86
GAB,Gabon,46.6
BHS,Bahamas,46.58
VUT,Vanuatu,45.88
BIH,Bosnia and Herzegovina,45.79
BRB,Barbados,45.5
TKM,Turkmenistan,45.07
PER,Peru,45.05
MNG,Mongolia,44.67
IDN,Indonesia,44.36
CPV,Cape Verde,44.07
PHL,Philippines,44.02
SLV,El Salvador,43.79
NAM,Namibia,43.71
UZB,Uzbekistan,43.23
CHN,China,43
CAF,Central African Republic,42.94
LBY,Libya,42.72
ZMB,Zambia,41.72
PNG,Papua New Guinea,41.09
GNQ,Equatorial Guinea,41.06
SEN,Senegal,40.83
KGZ,Kyrgyzstan,40.63
BFA,Burkina Faso,40.52
LAO,Laos,40.37
MWI,Malawi,40.06
CIV,Cote d'Ivoire,39.72
COG,Congo,39.44
ETH,Ethiopia,39.43
TLS,Timor-Leste,39.41
PRY,Paraguay,39.25
NGA,Nigeria,39.2
UGA,Uganda,39.18
VNM,Viet Nam,38.17
GUY,Guyana,38.07
SWZ,Swaziland,37.35
NPL,Nepal,37
KEN,Kenya,36.99
CMR,Cameroon,36.68
NER,Niger,36.28
TZA,Tanzania,36.19
GNB,Guinea-Bissau,35.98
KHM,Cambodia,35.44
RWA,Rwanda,35.41
GRD,Grenada,35.24
PAK,Pakistan,34.58
IRQ,Iraq,33.39
BEN,Benin,32.42
GHA,Ghana,32.07
SLB,Solomon Islands,31.63
COM,Comoros,31.39
TJK,Tajikistan,31.34
IND,India,31.23
TCD,Chad,31.02
YEM,Yemen,30.16
MOZ,Mozambique,29.97
GMB,Gambia,29.3
AGO,Angola,28.69
DJI,Djibouti,28.52
GIN,Guinea,28.03
TGO,Togo,27.91
MMR,Myanmar,27.44
MRT,Mauritania,27.19
MDG,Madagascar,26.7
BDI,Burundi,25.78
ERI,Eritrea,25.76
BGD,Bangladesh,25.61
COD,Dem. Rep. Congo,25.01
SDN,Sudan,24.64
LBR,Liberia,23.95
SLE,Sierra Leone,21.74
AFG,Afghanistan,21.57
LSO,Lesotho,20.81
HTI,Haiti,19.01
MLI,Mali,18.43
SOM,Somalia,15.47
