Country,2016 EPI Score,Year
Finland,90.68,2016
Iceland,90.51,2016
Sweden,90.43,2016
Denmark,89.21,2016
Slovenia,88.98,2016
Spain,88.91,2016
Portugal,88.63,2016
Estonia,88.59,2016
Malta,88.48,2016
France,88.2,2016
New Zealand,88,2016
United Kingdom,87.38,2016
Australia,87.22,2016
Singapore,87.04,2016
Croatia,86.98,2016
Switzerland,86.93,2016
Norway,86.9,2016
Austria,86.64,2016
Ireland,86.6,2016
Luxembourg,86.58,2016
Greece,85.81,2016
Latvia,85.71,2016
Lithuania,85.49,2016
Slovakia,85.42,2016
Canada,85.06,2016
United States of America,84.72,2016
Czech Republic,84.67,2016
Hungary,84.6,2016
Italy,84.48,2016
Germany,84.26,2016
Azerbaijan,83.78,2016
Russia,83.52,2016
Bulgaria,83.4,2016
Romania,83.24,2016
Belarus,82.3,2016
Netherlands,82.03,2016
Armenia,81.6,2016
Poland,81.26,2016
Japan,80.59,2016
Cyprus,80.24,2016
Belgium,80.15,2016
Costa Rica,80.03,2016
Argentina,79.84,2016
Ukraine,79.69,2016
Cuba,79.04,2016
Brazil,78.9,2016
Montenegro,78.89,2016
Serbia,78.67,2016
Israel,78.14,2016
Macedonia,78.02,2016
Panama,78,2016
Chile,77.67,2016
Tunisia,77.28,2016
Jamaica,77.02,2016
Moldova,76.69,2016
Venezuela,76.23,2016
Colombia,75.93,2016
Dominican Republic,75.32,2016
Fiji,75.29,2016
Taiwan,74.88,2016
Albania,74.38,2016
Trinidad and Tobago,74.34,2016
Malaysia,74.23,2016
Morocco,74.18,2016
Uruguay,73.98,2016
Philippines,73.7,2016
Mexico,73.59,2016
Belize,73.55,2016
Kazakhstan,73.29,2016
Dominica,73.25,2016
Kyrgyz Republic,73.13,2016
Tajikistan,73.05,2016
Peru,72.95,2016
Jordan,72.24,2016
Guyana,71.14,2016
Bolivia,71.09,2016
Mauritius,70.85,2016
Namibia,70.84,2016
Botswana,70.72,2016
South Korea,70.61,2016
South Africa,70.52,2016
Paraguay,70.36,2016
Algeria,70.28,2016
Turkmenistan,70.24,2016
Samoa,70.2,2016
Bahrain,70.07,2016
Qatar,69.94,2016
Honduras,69.64,2016
Guatemala,69.64,2016
Equatorial Guinea,69.59,2016
Thailand,69.54,2016
United Arab Emirates,69.35,2016
The Bahamas,69.34,2016
Lebanon,69.14,2016
Saudi Arabia,68.63,2016
Suriname,68.58,2016
El Salvador,68.07,2016
Brunei Darussalam,67.86,2016
Turkey,67.68,2016
Gabon,67.37,2016
Syria,66.91,2016
Tonga,66.86,2016
Ecuador,66.58,2016
Egypt,66.45,2016
Iran,66.32,2016
Zambia,66.06,2016
Indonesia,65.85,2016
Sri Lanka,65.55,2016
China,65.1,2016
Bhutan,64.99,2016
Georgia,64.96,2016
Seychelles,64.92,2016
Kuwait,64.41,2016
Mongolia,64.39,2016
Nicaragua,64.19,2016
Iraq,63.97,2016
Senegal,63.73,2016
Uzbekistan,63.67,2016
Libya,63.29,2016
Bosnia and Herzegovina,63.28,2016
Grenada,63.28,2016
Antigua and Barbuda,62.55,2016
Kenya,62.49,2016
Swaziland,60.63,2016
Kiribati,60.48,2016
Oman,60.13,2016
Cote d'Ivoire,59.89,2016
Congo,59.56,2016
Zimbabwe,59.25,2016
Ghana,58.89,2016
Viet Nam,58.5,2016
Tanzania,58.34,2016
Nigeria,58.27,2016
Vanuatu,57.74,2016
Uganda,57.56,2016
Cameroon,57.13,2016
Maldives,57.1,2016
Timor-Leste,55.79,2016
Guinea,55.4,2016
Barbados,54.96,2016
India,53.58,2016
The Gambia,52.09,2016
Cape Verde,51.98,2016
Pakistan,51.42,2016
Angola,51.32,2016
Cambodia,51.24,2016
Rwanda,50.34,2016
Laos,50.29,2016
Nepal,50.21,2016
Yemen,49.79,2016
Malawi,49.69,2016
Comoros,49.2,2016
Myanmar,48.98,2016
Sao Tome and Principe,48.28,2016
Guinea-Bissau,48.2,2016
Papua New Guinea,48.02,2016
Lesotho,47.17,2016
Solomon Islands,46.92,2016
Central African Republic,46.46,2016
Mauritania,46.31,2016
Togo,46.1,2016
Sierra Leone,45.98,2016
Ethiopia,45.83,2016
Djibouti,45.29,2016
Burkina Faso,43.71,2016
Benin,43.66,2016
Liberia,43.42,2016
Burundi,43.37,2016
Haiti,43.28,2016
Sudan,42.25,2016
Dem. Rep. Congo,42.05,2016
Mozambique,41.82,2016
Bangladesh,41.77,2016
Mali,41.48,2016
Chad,37.83,2016
Afghanistan,37.5,2016
Niger,37.48,2016
Madagascar,37.1,2016
Eritrea,36.73,2016
Somalia,27.66,2016
